Shen's Region,Hemisphere,Lobe,CI Max (Shen2Yeo),Shen2Yeo,Abs_Shen2Yeo
ROI_33,Right,Motor,Somatomotor,Somatomotor,SM
ROI_34,Right,Insula,Ventral Attention,Ventral Attention,VA
ROI_35,Right,Insula,Ventral Attention,Ventral Attention,VA
ROI_36,Right,Insula,Default Mode,Default Mode,DM
ROI_37,Right,Insula,Ventral Attention,Ventral Attention,VA
ROI_38,Right,Parietal,Dorsal Attention,Dorsal Attention,DA
ROI_39,Right,Parietal,Somatomotor,Somatomotor,SM
ROI_40,Right,Parietal,Somatomotor,Somatomotor,SM
ROI_41,Right,Parietal,Dorsal Attention,Dorsal Attention,DA
ROI_42,Right,Parietal,Frontoparietal,Frontoparietal,FP
ROI_43,Right,Parietal,Dorsal Attention,Dorsal Attention,DA
ROI_44,Right,Parietal,Dorsal Attention,Dorsal Attention,DA
ROI_45,Right,Parietal,Dorsal Attention,Dorsal Attention,DA
ROI_46,Right,Parietal,Ventral Attention,Ventral Attention,VA
ROI_47,Right,Parietal,Ventral Attention,Ventral Attention,VA
ROI_48,Right,Parietal,Default Mode,Default Mode,DM
ROI_49,Right,Parietal,Dorsal Attention,Dorsal Attention,DA
ROI_50,Right,Parietal,Dorsal Attention,Dorsal Attention,DA
ROI_51,Right,Temporal,Limbic,Limbic,LIM
ROI_52,Right,Temporal,Limbic,Limbic,LIM
ROI_53,Right,Temporal,Default Mode,Default Mode,DM
ROI_54,Right,Temporal,Default Mode,Default Mode,DM
ROI_55,Right,Temporal,Default Mode,Default Mode,DM
ROI_56,Right,Temporal,Default Mode,Default Mode,DM
ROI_57,Right,Temporal,Limbic,Limbic,LIM
ROI_58,Right,Temporal,Limbic,Limbic,LIM
ROI_59,Right,Temporal,Limbic,Limbic,LIM
ROI_60,Right,Temporal,Limbic,Limbic,LIM
ROI_61,Right,Temporal,Somatomotor,Somatomotor,SM
ROI_62,Right,Temporal,Somatomotor,Somatomotor,SM
ROI_63,Right,Temporal,Default Mode,Default Mode,DM
ROI_64,Right,Temporal,Default Mode,Default Mode,DM
ROI_65,Right,Temporal,Default Mode,Default Mode,DM
ROI_66,Right,Temporal,Dorsal Attention,Dorsal Attention,DA
ROI_67,Right,Temporal,Visual,Visual,VIS
ROI_68,Right,Temporal,Visual,Visual,VIS
ROI_69,Right,Temporal,Dorsal Attention,Dorsal Attention,DA
ROI_70,Right,Temporal,Frontoparietal,Frontoparietal,FP
ROI_71,Right,Temporal,Dorsal Attention,Dorsal Attention,DA
ROI_72,Right,Visual,Visual,Visual,VIS
ROI_73,Right,Visual,Visual,Visual,VIS
ROI_74,Right,Visual,Visual,Visual,VIS
ROI_75,Right,Visual,Visual,Visual,VIS
ROI_76,Right,Visual,Visual,Visual,VIS
ROI_77,Right,Visual,Visual,Visual,VIS
ROI_78,Right,Visual,Visual,Visual,VIS
ROI_79,Right,Visual,Visual,Visual,VIS
ROI_80,Right,Visual,Visual,Visual,VIS
ROI_81,Right,Visual,Visual,Visual,VIS
ROI_82,Right,Visual,Visual,Visual,VIS
ROI_83,Right,Limbic,Default Mode,Default Mode,DM
ROI_84,Right,Limbic,Ventral Attention,Ventral Attention,VA
ROI_85,Right,Limbic,Default Mode,Default Mode,DM
ROI_86,Right,Limbic,Default Mode,Default Mode,DM
ROI_87,Right,Limbic,Visual,Visual,VIS
ROI_88,Right,Limbic,Frontoparietal,Frontoparietal,FP
ROI_89,Right,Limbic,Somatomotor,Somatomotor,SM
ROI_90,Right,Limbic,Default Mode,Default Mode,DM
ROI_91,Right,Limbic,Ventral Attention,Ventral Attention,VA
ROI_92,Right,Limbic,Limbic,Limbic,LIM
ROI_93,Right,Limbic,Visual,Visual,VIS
ROI_94,Right,Limbic,Limbic,Limbic,LIM
ROI_95,Right,Limbic,Default Mode,Default Mode,DM
ROI_96,Right,Limbic,Limbic,Limbic,LIM
ROI_97,Right,Limbic,Limbic,Limbic,LIM
ROI_98,Right,Limbic,Visual,Visual,VIS
ROI_99,Right,Limbic,Limbic,Limbic,LIM
ROI_100,Right,Cerebellum,NA,Cerebellum,CB
ROI_101,Right,Cerebellum,NA,Cerebellum,CB
ROI_102,Right,Cerebellum,NA,Cerebellum,CB
ROI_103,Right,Cerebellum,NA,Cerebellum,CB
ROI_104,Right,Cerebellum,NA,Cerebellum,CB
ROI_105,Right,Cerebellum,NA,Cerebellum,CB
ROI_106,Right,Cerebellum,NA,Cerebellum,CB
ROI_107,Right,Cerebellum,NA,Cerebellum,CB
ROI_108,Right,Cerebellum,NA,Cerebellum,CB
ROI_109,Right,Cerebellum,NA,Cerebellum,CB
ROI_110,Right,Cerebellum,NA,Cerebellum,CB
ROI_111,Right,Cerebellum,NA,Cerebellum,CB
ROI_112,Right,Cerebellum,NA,Cerebellum,CB
ROI_113,Right,Cerebellum,NA,Cerebellum,CB
ROI_114,Right,Cerebellum,NA,Cerebellum,CB
ROI_115,Right,Cerebellum,NA,Cerebellum,CB
ROI_116,Right,Cerebellum,NA,Cerebellum,CB
ROI_117,Right,Cerebellum,NA,Cerebellum,CB
ROI_118,Right,Cerebellum,NA,Cerebellum,CB
ROI_119,Right,Cerebellum,NA,Cerebellum,CB
ROI_120,Right,Subcortical ,NA,Subcortical Structures,SCS
ROI_121,Right,Subcortical ,NA,Subcortical Structures,SCS
ROI_122,Right,Subcortical ,NA,Subcortical Structures,SCS
ROI_123,Right,Subcortical ,NA,Subcortical Structures,SCS
ROI_124,Right,Subcortical ,NA,Subcortical Structures,SCS
ROI_125,Right,Subcortical ,NA,Subcortical Structures,SCS
ROI_126,Right,Subcortical ,NA,Subcortical Structures,SCS
ROI_127,Right,Subcortical ,NA,Subcortical Structures,SCS
ROI_128,Right,Subcortical ,NA,Subcortical Structures,SCS
ROI_129,Right,Brainstem,NA,Brainstem,BS
ROI_130,Right,Brainstem,NA,Brainstem,BS
ROI_131,Right,Brainstem,NA,Brainstem,BS
ROI_132,Right,Brainstem,NA,Brainstem,BS
ROI_133,Right,Brainstem,NA,Brainstem,BS
ROI_134,Left,Prefrontal,Limbic,Limbic,LIM
ROI_135,Left,Prefrontal,Limbic,Limbic,LIM
ROI_136,Left,Prefrontal,Limbic,Limbic,LIM
ROI_137,Left,Prefrontal,Limbic,Limbic,LIM
ROI_138,Left,Prefrontal,Default Mode,Default Mode,DM
ROI_139,Left,Prefrontal,Limbic,Limbic,LIM
ROI_140,Left,Prefrontal,Default Mode,Default Mode,DM
ROI_141,Left,Prefrontal,Default Mode,Default Mode,DM
ROI_142,Left,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_143,Left,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_144,Left,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_145,Left,Prefrontal,Default Mode,Default Mode,DM
ROI_146,Left,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_147,Left,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_148,Left,Prefrontal,Default Mode,Default Mode,DM
ROI_149,Left,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_150,Left,Prefrontal,Ventral Attention,Ventral Attention,VA
ROI_151,Left,Prefrontal,Default Mode,Default Mode,DM
ROI_152,Left,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_153,Left,Prefrontal,Limbic,Limbic,LIM
ROI_154,Left,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_155,Left,Prefrontal,Ventral Attention,Ventral Attention,VA
ROI_156,Left,Prefrontal,Ventral Attention,Ventral Attention,VA
ROI_157,Left,Prefrontal,Dorsal Attention,Dorsal Attention,DA
ROI_158,Left,Motor,Somatomotor,Somatomotor,SM
ROI_159,Left,Motor,Somatomotor,Somatomotor,SM
ROI_160,Left,Motor,Somatomotor,Somatomotor,SM
ROI_161,Left,Motor,Somatomotor,Somatomotor,SM
ROI_162,Left,Motor,Ventral Attention,Ventral Attention,VA
ROI_163,Left,Motor,Somatomotor,Somatomotor,SM
ROI_164,Left,Motor,Frontoparietal,Frontoparietal,FP
ROI_165,Left,Motor,Ventral Attention,Ventral Attention,VA
ROI_166,Left,Motor,Dorsal Attention,Dorsal Attention,DA
ROI_167,Left,Motor,Somatomotor,Somatomotor,SM
ROI_168,Left,Insula,Ventral Attention,Ventral Attention,VA
ROI_169,Left,Insula,Ventral Attention,Ventral Attention,VA
ROI_170,Left,Insula,Ventral Attention,Ventral Attention,VA
ROI_171,Left,Parietal,Dorsal Attention,Dorsal Attention,DA
ROI_172,Left,Parietal,Somatomotor,Somatomotor,SM
ROI_173,Left,Parietal,Somatomotor,Somatomotor,SM
ROI_174,Left,Parietal,Somatomotor,Somatomotor,SM
ROI_175,Left,Parietal,Dorsal Attention,Dorsal Attention,DA
ROI_176,Left,Parietal,Visual,Visual,VIS
ROI_177,Left,Parietal,Dorsal Attention,Dorsal Attention,DA
ROI_178,Left,Parietal,Dorsal Attention,Dorsal Attention,DA
ROI_179,Left,Parietal,Dorsal Attention,Dorsal Attention,DA
ROI_180,Left,Parietal,Somatomotor,Somatomotor,SM
ROI_181,Left,Parietal,Ventral Attention,Ventral Attention,VA
ROI_182,Left,Parietal,Frontoparietal,Frontoparietal,FP
ROI_183,Left,Parietal,Default Mode,Default Mode,DM
ROI_184,Left,Parietal,Frontoparietal,Frontoparietal,FP
ROI_185,Left,Temporal,Limbic,Limbic,LIM
ROI_186,Left,Temporal,Limbic,Limbic,LIM
ROI_187,Left,Temporal,Default Mode,Default Mode,DM
ROI_188,Left,Temporal,Somatomotor,Somatomotor,SM
ROI_189,Left,Temporal,Limbic,Limbic,LIM
ROI_190,Left,Temporal,Default Mode,Default Mode,DM
ROI_191,Left,Temporal,Somatomotor,Somatomotor,SM
ROI_192,Left,Temporal,Ventral Attention,Ventral Attention,VA
ROI_193,Left,Temporal,Frontoparietal,Frontoparietal,FP
ROI_194,Left,Temporal,Limbic,Limbic,LIM
ROI_195,Left,Temporal,Limbic,Limbic,LIM
ROI_196,Left,Temporal,Limbic,Limbic,LIM
ROI_197,Left,Temporal,Somatomotor,Somatomotor,SM
ROI_198,Left,Temporal,Visual,Visual,VIS
ROI_199,Left,Temporal,Dorsal Attention,Dorsal Attention,DA
ROI_200,Left,Temporal,Visual,Visual,VIS
ROI_201,Left,Temporal,Dorsal Attention,Dorsal Attention,DA
ROI_202,Left,Temporal,Limbic,Limbic,LIM
ROI_203,Left,Visual,Dorsal Attention,Dorsal Attention,DA
ROI_204,Left,Visual,Visual,Visual,VIS
ROI_205,Left,Visual,Visual,Visual,VIS
ROI_206,Left,Visual,Visual,Visual,VIS
ROI_207,Left,Visual,Visual,Visual,VIS
ROI_208,Left,Visual,Visual,Visual,VIS
ROI_209,Left,Visual,Visual,Visual,VIS
ROI_210,Left,Visual,Visual,Visual,VIS
ROI_211,Left,Visual,Visual,Visual,VIS
ROI_212,Left,Visual,Visual,Visual,VIS
ROI_213,Left,Visual,Visual,Visual,VIS
ROI_214,Left,Visual,Visual,Visual,VIS
ROI_215,Left,Visual,Visual,Visual,VIS
ROI_216,Left,Visual,Visual,Visual,VIS
ROI_217,Left,Limbic,Visual,Visual,VIS
ROI_218,Left,Limbic,Somatomotor,Somatomotor,SM
ROI_219,Left,Limbic,Frontoparietal,Frontoparietal,FP
ROI_220,Left,Limbic,Ventral Attention,Ventral Attention,VA
ROI_221,Left,Limbic,Ventral Attention,Ventral Attention,VA
ROI_222,Left,Limbic,Default Mode,Default Mode,DM
ROI_223,Left,Limbic,Default Mode,Default Mode,DM
ROI_224,Left,Limbic,Frontoparietal,Frontoparietal,FP
ROI_225,Left,Limbic,Default Mode,Default Mode,DM
ROI_226,Left,Limbic,Ventral Attention,Ventral Attention,VA
ROI_227,Left,Limbic,Default Mode,Default Mode,DM
ROI_228,Left,Limbic,Limbic,Limbic,LIM
ROI_229,Left,Limbic,Visual,Visual,VIS
ROI_230,Left,Limbic,Visual,Visual,VIS
ROI_231,Left,Limbic,Limbic,Limbic,LIM
ROI_232,Left,Limbic,Limbic,Limbic,LIM
ROI_233,Left,Limbic,Visual,Visual,VIS
ROI_234,Left,Limbic,Limbic,Limbic,LIM
ROI_235,Left,Limbic,Limbic,Limbic,LIM
ROI_236,Left,Cerebellum,NA,Cerebellum,CB
ROI_237,Left,Cerebellum,NA,Cerebellum,CB
ROI_238,Left,Cerebellum,NA,Cerebellum,CB
ROI_239,Left,Cerebellum,NA,Cerebellum,CB
ROI_240,Left,Cerebellum,NA,Cerebellum,CB
ROI_241,Left,Cerebellum,NA,Cerebellum,CB
ROI_242,Left,Cerebellum,NA,Cerebellum,CB
ROI_243,Left,Cerebellum,NA,Cerebellum,CB
ROI_244,Left,Cerebellum,NA,Cerebellum,CB
ROI_245,Left,Cerebellum,NA,Cerebellum,CB
ROI_246,Left,Cerebellum,NA,Cerebellum,CB
ROI_247,Left,Cerebellum,NA,Cerebellum,CB
ROI_248,Left,Cerebellum,NA,Cerebellum,CB
ROI_249,Left,Cerebellum,NA,Cerebellum,CB
ROI_250,Left,Cerebellum,NA,Cerebellum,CB
ROI_251,Left,Cerebellum,NA,Cerebellum,CB
ROI_252,Left,Cerebellum,NA,Cerebellum,CB
ROI_253,Left,Cerebellum,NA,Cerebellum,CB
ROI_254,Left,Cerebellum,NA,Cerebellum,CB
ROI_255,Left,Cerebellum,NA,Cerebellum,CB
ROI_256,Left,Cerebellum,NA,Cerebellum,CB
ROI_257,Left,Subcortical Structures,NA,Subcortical Structures,SCS
ROI_258,Left,Subcortical,NA,Subcortical Structures,SCS
ROI_259,Left,Subcortical,NA,Subcortical Structures,SCS
ROI_260,Left,Subcortical,NA,Subcortical Structures,SCS
ROI_261,Left,Subcortical,NA,Subcortical Structures,SCS
ROI_262,Left,Subcortical,NA,Subcortical Structures,SCS
ROI_263,Left,Subcortical,NA,Subcortical Structures,SCS
ROI_264,Left,Subcortical,NA,Subcortical Structures,SCS
ROI_265,Left,Brainstem,NA,Brainstem,BS
ROI_266,Left,Brainstem,NA,Brainstem,BS
ROI_267,Left,Brainstem,NA,Brainstem,BS
ROI_268,Left,Brainstem,NA,Brainstem,BS

